Mason County,111,94,69,68,94,68,76,66,53,79,61,54,42,79,40,49,48,52,65,64,41,86,90,60,74,59,55,79
Mercer County,348,320,254,384,423,417,363,239,306,372,340,323,377,413,237,224,262,285,292,320,295,331,346,318,346,382,410,319
Mineral County,57,112,129,95,95,127,141,86,68,83,95,63,93,105,86,71,74,73,75,63,48,98,104,113,94,101,158,153
Mingo County,191,122,44,106,37,102,73,79,76,59,52,39,41,44,22,34,55,42,50,49,21,76,77,58,57,56,63,81
Monongalia County,290,250,285,393,485,483,495,456,373,487,406,328,329,316,326,313,352,243,232,303,191,346,302,331,279,523,424,529
Monroe County,66,20,34,18,30,27,22,20,27,2,22,18,6,6,9,10,7,3,3,19,4,11,10,25,18,16,16,16
Morgan County,57,35,30,20,23,15,25,24,17,41,33,22,44,22,32,23,15,21,33,15,10,27,30,33,33,34,35,44
Nicholas County,141,122,93,89,64,87,67,77,71,96,71,61,118,148,131,115,139,180,158,170,146,167,248,135,135,137,141,190
Ohio County,296,249,237,222,224,278,228,210,158,192,164,185,92,157,50,204,177,236,95,121,107,172,161,129,155,165,159,153
Pendleton County,23,31,13,21,25,37,13,21,23,39,19,16,9,16,11,20,15,17,9,24,0,27,35,27,27,46,38,25
Pleasants County,9,16,8,12,11,11,17,6,8,15,8,13,14,17,3,10,5,7,4,6,6,22,19,28,19,24,23,22
Pocahontas County,15,20,18,9,7,12,24,18,15,6,14,12,18,22,14,29,19,37,26,24,8,17,34,15,35,34,22,41
Preston County,62,47,45,60,71,76,69,79,71,49,27,37,34,40,31,24,18,39,25,61,43,60,54,70,74,67,100,63
Putnam County,67,79,42,78,9,104,88,67,95,135,60,48,31,103,43,72,62,75,95,58,78,149,212,139,114,156,155,137
Raleigh County,664,572,594,634,542,672,731,563,641,661,570,523,386,468,371,163,99,609,588,504,512,609,699,652,606,914,766,770
Randolph County,108,93,91,91,177,172,167,186,157,188,179,159,100,118,84,113,144,124,113,126,74,128,192,144,88,198,117,95
Ritchie County,18,22,33,69,39,19,11,17,21,15,19,17,20,29,11,28,21,32,20,15,3,16,23,27,34,10,13,13
Roane County,28,39,9,29,34,59,58,65,53,62,88,86,46,83,41,59,39,43,41,44,33,42,54,42,56,74,90,100
Summers County,67,51,15,17,12,6,25,16,27,22,22,30,4,8,17,26,11,9,18,26,12,9,30,17,6,18,42,52
Taylor County,39,58,74,32,33,57,39,42,15,34,33,21,34,7,4,4,3,2,2,3,5,5,33,8,8,7,9,10
Tucker County,20,15,22,48,38,27,20,31,12,20,19,12,4,17,14,13,10,18,19,17,14,24,20,24,18,12,27,14
Tyler County,30,41,41,39,35,33,38,43,28,34,42,39,19,15,8,19,6,12,11,13,1,6,32,13,17,13,10,8
Upshur County,143,146,95,141,107,167,129,142,123,97,134,64,61,82,110,80,57,60,39,57,59,49,56,40,90,104,148,110
Wayne County,154,111,164,118,129,152,168,116,123,80,94,128,67,55,44,49,71,41,62,74,37,74,46,46,97,86,93,226
Webster County,32,24,21,47,24,23,21,10,5,26,5,14,12,17,12,32,25,33,40,44,19,44,46,39,44,41,37,52
Wetzel County,37,83,54,74,58,59,76,85,64,74,39,58,24,35,23,24,25,11,38,40,62,85,90,63,19,17,83,98
Wirt County,9,19,11,31,20,22,40,11,7,10,11,10,3,2,7,11,0,20,2,13,5,9,9,8,8,4,7,6
Wood County,414,479,605,664,628,688,756,680,713,854,643,670,67,205,275,236,230,277,323,255,323,350,203,103,127,203,213,115
Wyoming County,156,110,86,83,91,106,63,72,59,57,69,92,29,60,54,30,44,28,62,47,22,33,40,25,33,37,29,40
